CustomerKey;FullName;Gender;DateFirstPurchanse;CustomerCity
11003;Christy Zhu;Female;2017-12-29;North Ryde
14501;Ruben Prasad;Male;2017-12-29;Beverly Hills
21768;Cole Watson;Male;2017-12-29;Metchosin
25863;Sydney Wright;Female;2017-12-29;Lebanon
28389;Rachael Martinez;Female;2017-12-29;Pantin
27645;Colin Anand;Male;2017-12-30;Coronado
11005;Julio Ruiz;Male;2017-12-30;East Brisbane
11011;Curtis Lu;Male;2017-12-30;East Brisbane
16624;Albert Alvarez;Male;2017-12-30;Perth
16517;Katrina Raji;Female;2017-12-31;Wollongong
16351;Martha Xu;Female;2017-12-31;Rockhampton
20042;Brad Deng;Male;2017-12-31;Liverpool
27616;Emma Brown;Female;2017-12-31;Lemon Grove
27621;Edward Brown;Male;2017-12-31;Santa Monica
27606;Courtney Edwards;Female;2018-01-01;Milwaukie
13513;Abigail Henderson;Female;2018-01-01;Werne
13591;Latasha Alonso;Female;2018-01-02;York
16483;Warren Jai;Male;2018-01-02;Melbourne
16529;Jonathon Gutierrez;Male;2018-01-02;Goulburn
27601;Sydney Rogers;Female;2018-01-02;Burbank
25249;Alexandra Watson;Female;2018-01-02;Goulburn
27612;Lucas Hill;Male;2018-01-03;Berkeley
27668;Kevin Gonzalez;Male;2018-01-03;Kirkland
13590;Louis Xie;Male;2018-01-03;York
13264;Melanie Sanchez;Female;2018-01-03;Ingolstadt
13581;Albert Blanco;Male;2018-01-04;Esher-Molesey
14520;Bonnie Xu;Female;2018-01-04;Bremerton
16520;Misty Raji;Female;2018-01-04;Bendigo
16607;Logan Gonzales;Male;2018-01-05;Brisbane
14560;Kelvin Huang;Male;2018-01-05;Bellflower
13258;Anne Dominguez;Female;2018-01-05;Kassel
11025;Alejandro Beck;Male;2018-01-06;Hawthorne
11238;Mayra Prasad;Female;2018-01-06;Birmingham
16629;Rosa Zheng;Female;2018-01-06;Matraville
27666;Alyssa Garcia;Female;2018-01-06;Fremont
27577;Patrick Cook;Male;2018-01-06;Port Orchard
25861;Garrett Cooper;Male;2018-01-06;Woodland Hills
27604;Richard Brooks;Male;2018-01-07;Port Orchard
16522;Casey Pal;Female;2018-01-07;Caloundra
11002;Ruben Torres;Male;2018-01-07;Hobart
11606;Melody Ramos;Female;2018-01-08;Morangis
13261;Lindsey Andersen;Female;2018-01-08;Paderborn
13563;Phillip Sai;Male;2018-01-08;Stoke-on-Trent
16527;Cory Arun;Male;2018-01-08;Milsons Point
16631;Haley Ward;Female;2018-01-09;Rockhampton
13576;Tamara Lal;Female;2018-01-09;London
11007;Marco Mehta;Male;2018-01-09;Warrnambool
27671;Jeremiah Martinez;Male;2018-01-09;Ballard
16616;Kelvin Liang;Male;2018-01-10;Perth
16514;Manuel Fernandez;Male;2018-01-10;Malabar
16482;Tabitha Arthur;Female;2018-01-11;Bendigo
11591;Stacey Lu;Female;2018-01-11;Versailles
11592;Darrell Raji;Male;2018-01-11;Paris
13265;Luke Adams;Male;2018-01-11;Paderborn
27623;Christian Jackson;Male;2018-01-11;Lincoln Acres
27625;Alexandria Hughes;Female;2018-01-11;Lake Oswego
27636;Paige Murphy;Female;2018-01-11;Issaquah
27617;Morgan Phillips;Female;2018-01-12;Olympia
27670;Kayla Long;Female;2018-01-12;Novato
11017;Shannon Wang;Female;2018-01-12;Sunbury
19941;Cedric Liang;Male;2018-01-12;London
16493;Brenda Fernandez;Female;2018-01-13;Seaford
16352;Tiffany Gao;Female;2018-01-13;Goulburn
13257;Jon Chander;Male;2018-01-13;Hof
27646;Jackson Li;Male;2018-01-13;Imperial Beach
27578;Courtney Carter;Female;2018-01-14;Lakewood
11010;Jacquelyn Suarez;Female;2018-01-14;East Brisbane
16525;Martha Liang;Female;2018-01-14;Goulburn
16612;Ebony Ashe;Female;2018-01-14;Matraville
16518;Krystal Holt;Female;2018-01-15;Cranbourne
11001;Eugene Huang;Male;2018-01-15;Seaford
